City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,mitsamiouli,-11.3847,43.2844,-518.3499999999999,81,99,6.54,KM,1702254383
67,eureka,40.8021,-124.1637,-531.7199999999999,80,100,1.34,US,1702254246
68,vorgashor,67.5833,63.95,-571.0699999999999,100,100,3.39,RU,1702253854
69,thunder bay,48.4001,-89.3168,-550.31,68,100,4.12,CA,1702253733
70,iron river,46.0927,-88.6423,-550.88,85,84,2.24,US,1702254385
71,susuman,62.7833,148.1667,-568.53,99,94,2.68,RU,1702253833
72,kourou,5.1552,-52.6478,-519.27,89,20,2.63,GF,1702253839
73,hamilton,39.1834,-84.5333,-544.3299999999999,81,100,6.69,US,1702253787
74,simojovel de allende,17.2,-92.6333,-528.03,100,90,1.12,MX,1702254386
75,lebu,-37.6167,-73.65,-533.3599999999999,89,92,8.85,CL,1702253847
76,glendive,47.1053,-104.7125,-545.51,80,0,2.06,US,1702254386
77,kapuskasing,49.4169,-82.4331,-552.25,86,100,5.14,CA,1702253955
78,dadukou,26.5479,101.7054,-536.7099999999999,87,0,0.49,CN,1702254387
79,smithers,54.7804,-127.1743,-551.12,93,75,1.03,CA,1702254387
80,west island,-12.1568,96.8225,-520.31,78,40,4.63,CC,1702253835
81,kodiak,57.79,-152.4072,-540.5699999999999,87,100,8.75,US,1702253920
82,ribeira grande,38.5167,-28.7,-528.65,74,63,8.05,PT,1702253822
83,sitka,57.0531,-135.33,-542.3599999999999,81,75,3.6,US,1702254007
84,magadan,59.5667,150.8,-548.78,87,92,8.12,RU,1702253998
85,usinsk,65.9939,57.5281,-575.1499999999999,100,100,0.45,RU,1702254260
86,keflavik,64.0049,-22.5624,-545.06,100,100,4.63,IS,1702253826
87,tenno,39.9,139.9667,-541.74,58,54,4.77,JP,1702254389
88,bahia de caraquez,-0.6,-80.4167,-519.1999999999999,82,85,3.65,EC,1702254390
89,hermanus,-34.4187,19.2345,-530.05,81,0,4.21,ZA,1702253886
90,wailua homesteads,22.0669,-159.378,-519.7099999999999,77,20,4.12,US,1702253836
91,cururupu,-1.8283,-44.8683,-520.54,82,73,2.29,BR,1702254390
92,tsiombe,-25.3,45.4833,-522.4599999999999,90,19,0.79,MG,1702254013
93,isafjordur,66.0755,-23.124,-549.6099999999999,93,100,2.79,IS,1702253825
94,papatowai,-46.5619,169.4708,-529.8399999999999,46,41,4.67,NZ,1702253823
95,scottburgh,-30.2867,30.7532,-527.3299999999999,83,99,2.34,ZA,1702254392
96,lihue,21.9789,-159.3672,-519.38,76,20,4.12,US,1702253860
97,new norfolk,-42.7826,147.0587,-524.24,30,92,1.11,AU,1702253871
98,college,64.8569,-147.8028,-571.05,69,75,1.54,US,1702253684
99,muynoq,43.7683,59.0214,-547.87,69,100,9.21,UZ,1702254393
100,saipan,15.1355,145.701,-516.91,74,20,6.17,MP,1702253865
101,hawaiian paradise park,19.5933,-154.9731,-520.17,93,100,4.63,US,1702253816
102,anna regina,7.2644,-58.5077,-520.52,84,4,2.88,GY,1702254367
103,luderitz,-26.6481,15.1594,-529.11,68,1,8.61,,1702253985
