City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp C
158,puerto ayora,-0.7393,-90.3518,297.6,83,46,3.31,EC,1702340540,24.450000000000045
159,at taj,24.2049,23.2857,286.47,55,41,4.9,LY,1702340562,13.32000000000005
160,port lincoln,-34.7333,135.8667,293.33,51,59,5.98,AU,1702340563,20.180000000000007
161,chonchi,-42.6128,-73.8092,285.71,94,100,1.95,CL,1702340263,12.560000000000002
162,kourou,5.1552,-52.6478,301.18,88,92,2.8,GF,1702340563,28.03000000000003
163,iquique,-20.2208,-70.1431,294.17,80,92,1.01,CL,1702340564,21.02000000000004
164,ulladulla,-35.35,150.4667,300.8,68,92,2.1,AU,1702340343,27.650000000000034
165,nova sintra,14.8667,-24.7167,296.39,67,15,7.11,CV,1702340564,23.24000000000001
166,zhaqsy,51.9083,67.3133,242.5,91,8,4.95,KZ,1702340565,-30.649999999999977
167,nevel'sk,46.6733,141.8633,267.7,62,100,3.24,RU,1702340565,-5.449999999999989
168,nabire,-3.3667,135.4833,302.19,73,90,0.73,ID,1702340565,29.04000000000002
169,bestobe,52.4994,73.0975,245.81,93,65,6.17,KZ,1702340566,-27.339999999999975
170,chibougamau,49.9168,-74.3659,262.94,92,100,4.12,CA,1702340566,-10.20999999999998
171,klyuchi,52.2667,79.1667,248.79,87,34,6.32,RU,1702340566,-24.359999999999985
172,omdurman,15.6445,32.4777,296.95,16,24,5.21,SD,1702340567,23.80000000000001
173,brookings,44.3114,-96.7984,275.96,72,100,4.12,US,1702340363,2.8100000000000023
174,greenville,35.6127,-77.3663,278.16,91,0,0.0,US,1702339923,5.010000000000048
175,queenstown,-31.8976,26.8753,288.18,79,52,1.24,ZA,1702340556,15.03000000000003
176,sibu,2.3,111.8167,298.32,94,40,2.57,MY,1702340568,25.170000000000016
177,amga,60.8953,131.9608,244.51,94,100,2.78,RU,1702340568,-28.639999999999986
178,west island,-12.1568,96.8225,299.14,78,30,3.6,CC,1702340569,25.99000000000001
179,eldivan,40.5298,33.499,279.67,90,100,0.69,TR,1702340569,6.520000000000039
180,bochil,16.9833,-92.9167,289.13,95,100,1.94,MX,1702340569,15.980000000000018
181,saudarkrokur,65.7461,-19.6394,268.99,94,100,2.68,IS,1702340570,-4.159999999999968
182,barranca,-10.75,-77.7667,293.23,84,12,3.42,PE,1702340570,20.08000000000004
183,matoury,4.8483,-52.3317,301.13,78,0,2.06,GF,1702340570,27.980000000000018
184,piton saint-leu,-21.2196,55.3151,295.19,78,0,2.57,RE,1702340571,22.04000000000002
185,santiago de cao,-7.9589,-79.2392,293.22,83,40,4.63,PE,1702340571,20.07000000000005
186,chiknayakanhalli,13.4172,76.6228,292.0,81,64,1.64,IN,1702340571,18.850000000000023
187,fort bragg,35.139,-79.006,277.54,85,0,0.0,US,1702340572,4.390000000000043
188,yuzhno-kurilsk,44.0306,145.8556,273.91,76,100,4.84,RU,1702340572,0.7600000000000477
189,kavaratti,10.5669,72.642,301.38,72,67,1.88,IN,1702340573,28.230000000000018
190,saint-pierre,-21.3393,55.4781,295.69,78,0,2.57,RE,1702340573,22.54000000000002
191,long beach,33.767,-118.1892,296.83,64,0,2.57,US,1702340361,23.680000000000007
192,medeiros neto,-17.3739,-40.2206,296.52,82,62,6.75,BR,1702340574,23.370000000000005
193,malvan,16.0667,73.4667,297.58,69,75,3.3,IN,1702340574,24.430000000000007
194,santa cruz del sur,20.7147,-77.9956,298.72,83,100,6.27,CU,1702340574,25.57000000000005
195,lompoc,34.6391,-120.4579,291.49,69,0,7.2,US,1702340559,18.340000000000032
196,carnarvon,-24.8667,113.6333,300.09,43,0,1.14,AU,1702340389,26.939999999999998
197,chinchilla,-26.75,150.6333,301.74,36,11,6.94,AU,1702340575,28.590000000000032
198,dazuocun,24.8862,118.9643,291.67,91,73,10.93,CN,1702340576,18.52000000000004
199,siwa oasis,29.2041,25.5195,287.02,79,80,2.07,EG,1702340576,13.870000000000005
200,bol,13.4586,14.7147,294.52,39,8,9.55,TD,1702340576,21.370000000000005
201,margaret river,-33.95,115.0667,295.09,52,0,2.96,AU,1702340577,21.939999999999998
202,alice springs,-23.7,133.8833,294.9,35,0,3.6,AU,1702340577,21.75
203,senatobia,34.6176,-89.9687,281.38,64,1,2.22,US,1702340577,8.230000000000018
204,port hedland,-20.3167,118.5667,303.18,14,0,6.17,AU,1702340337,30.03000000000003
205,la'ie,21.6477,-157.9253,302.81,72,15,2.68,US,1702340578,29.660000000000025
206,egilsstadir,65.2653,-14.3948,271.1,74,100,1.54,IS,1702340578,-2.0499999999999545
207,rongelap,11.1635,166.8941,300.7,76,51,8.82,MH,1702340579,27.55000000000001
208,kailua-kona,19.6406,-155.9956,302.19,82,40,3.6,US,1702340579,29.04000000000002
209,inari,68.906,27.0288,259.26,98,64,2.11,FI,1702340579,-13.889999999999986
210,sokoni,-6.4333,39.55,300.42,74,86,1.82,TZ,1702340580,27.27000000000004
211,doaba,33.4244,70.7364,281.28,33,0,1.05,PK,1702340580,8.129999999999995
212,jayapura,-2.5333,140.7,301.81,69,100,2.96,ID,1702340580,28.660000000000025
213,darab,28.7519,54.5444,285.89,24,98,0.86,IR,1702340581,12.740000000000009
214,shunyi,40.125,116.6453,268.12,86,40,1.0,CN,1702340581,-5.029999999999973
215,itaueira,-7.6033,-43.0256,300.03,55,95,0.93,BR,1702340581,26.879999999999995
216,mount pearl,47.5166,-52.7813,285.34,94,20,12.35,CA,1702340437,12.189999999999998
217,zhanaozen,43.3,52.8,263.16,89,89,10.51,KZ,1702340582,-9.989999999999952
218,colonia,50.9333,6.95,282.57,80,75,3.09,DE,1702340553,9.420000000000016
219,vansada,20.75,73.3667,292.51,65,76,0.8,IN,1702340583,19.360000000000014
220,nuuk,64.1835,-51.7216,274.49,86,100,18.01,GL,1702340387,1.3400000000000318
221,tabou,4.423,-7.3528,299.81,80,8,3.18,CI,1702340583,26.660000000000025
222,bilibino,68.0546,166.4372,252.57,95,100,1.54,RU,1702340584,-20.579999999999984
223,gilmer,32.7287,-94.9424,284.49,37,0,0.0,US,1702340584,11.340000000000032
224,nelson bay,-32.7167,152.15,300.18,71,18,1.79,AU,1702340584,27.03000000000003
225,gobabis,-22.45,18.9667,295.43,11,14,4.34,NA,1702340585,22.28000000000003
226,mossel bay,-34.1831,22.146,289.11,78,0,4.77,ZA,1702340585,15.960000000000036
227,along,28.1667,94.7667,284.32,77,3,0.66,IN,1702340586,11.170000000000016
228,dali,25.7,100.1833,278.68,87,0,0.6,CN,1702340586,5.53000000000003
229,whangarei,-35.7317,174.3239,291.87,53,69,5.9,NZ,1702340478,18.720000000000027
230,tolanaro,-25.0319,46.9987,298.19,94,20,3.09,MG,1702340587,25.04000000000002
231,udachny,66.4167,112.4,248.22,97,100,3.88,RU,1702340576,-24.92999999999998
232,luderitz,-26.6481,15.1594,291.4,53,0,8.97,NA,1702340575,18.25
233,kavieng,-2.5744,150.7967,301.89,77,91,5.07,PG,1702340588,28.74000000000001
234,tamiahua,21.2667,-97.45,290.5,81,100,2.26,MX,1702340382,17.350000000000023
235,caleta de carquin,-11.0925,-77.6267,293.5,85,9,4.05,PE,1702340588,20.350000000000023
236,lospalos,-8.5186,127.0025,297.72,82,100,1.36,TL,1702340589,24.57000000000005
237,anna regina,7.2644,-58.5077,299.0,85,25,2.44,GY,1702340589,25.850000000000023
238,alofi,-19.0595,-169.9187,302.09,70,100,3.6,NU,1702340590,28.939999999999998
239,djambala,-2.5447,14.7533,293.31,96,100,2.08,CG,1702340590,20.160000000000025
240,ore,6.7457,4.8775,297.84,84,30,1.18,NG,1702340590,24.689999999999998
241,madinat ash shamal,26.1293,51.2009,296.07,63,76,3.01,QA,1702340591,22.920000000000016
242,arrifes,37.7667,-25.7,286.29,77,20,3.09,PT,1702340591,13.140000000000043
243,malungun,6.2792,125.2817,301.27,73,8,2.89,PH,1702340591,28.120000000000005
244,fernley,39.608,-119.2518,283.63,42,68,2.68,US,1702340592,10.480000000000018
245,hovd,48.0056,91.6419,256.12,81,100,0.52,MN,1702340592,-17.029999999999973
246,cidreira,-30.1811,-50.2056,294.34,82,2,8.08,BR,1702340593,21.189999999999998
247,flying fish cove,-10.4217,105.6791,299.97,73,40,3.6,CX,1702340594,26.82000000000005
248,sao desiderio,-12.3633,-44.9733,298.18,53,87,0.64,BR,1702340595,25.03000000000003
249,qulsary,46.9531,54.0198,257.97,29,7,10.05,KZ,1702340595,-15.17999999999995
250,vorgashor,67.5833,63.95,255.59,89,100,6.45,RU,1702340595,-17.559999999999974
